Source URL,Type,Redirect Target,Priority,Notes
/neuropathy-red-light-therapy,301,/red-light-therapy-knee-pain/,LOW,RLT + pain
/preparing-first-massage-session-langford,301,/services/relaxation-massage/,LOW,Local content → Core 30
/best-massage-langford-clinics,301,/,LOW,Local → homepage
/back-pain-treatment-victoria-options,301,/conditions/back-pain/,MEDIUM,Old geo → Core 30
/holistic-nutrition,301,/services/nutrition-consulting/,MEDIUM,Old page → Core 30
/deep-tissue-vs-trigger-point-therapy,301,/services/trigger-point-therapy/,LOW,Comparison → service
AFFILIATE CONTENT MERGES,,,,
/red-light-therapy-costs/,301,/red-light-therapy-bed-cost/,MEDIUM,Overlapping topic
/best-red-light-therapy-panels/,301,/at-home-red-light-therapy/,MEDIUM,Into pillar
/red-light-therapy-beds/,301,/red-light-therapy-bed-cost/,MEDIUM,Consolidate
/red-light-therapy/,301,/at-home-red-light-therapy/,HIGH,Generic slug → pillar
/echo-go-hydrogen-water-bottle-review/,301,/best-hydrogen-water-bottles/,LOW,Into roundup
/hydrogen-water/,301,/benefits-of-hydrogen-water/,MEDIUM,Into pillar
HYDROGEN WATER ORPHANS,,,,
/dana-white-hydrogen-water,301,/benefits-of-hydrogen-water/,LOW,Celebrity angle
/joe-rogan-hydrogen-water,301,/benefits-of-hydrogen-water/,LOW,Celebrity angle
/kim-kardashian-hydrogen-water,301,/benefits-of-hydrogen-water/,LOW,2 impressions
/hydrogen-water-cancer,301,/benefits-of-hydrogen-water/,LOW,3 impressions
/hydrogen-water-and-diabetes,301,/benefits-of-hydrogen-water/,LOW,1 impression
/how-do-hydrogen-water-bottles-work,301,/best-hydrogen-water-bottles/,LOW,Informational
/alkaline-water-vs-hydrogen-water,301,/benefits-of-hydrogen-water/,LOW,Comparison
/cymbiotika-molecular-hydrogen-review,301,/hydrogen-water-tablets/,LOW,Product review
/echo-h2-machine-reviews,301,/best-hydrogen-water-machines/,LOW,Old review
/echo-hydrogen-water-reviews,301,/best-hydrogen-water-machines/,LOW,Old review
/echo-water-vs-kangen,301,/best-hydrogen-water-machines/,LOW,Old comparison
/echo-clean-review,301,/best-hydrogen-water-machines/,LOW,Old review
/molecular-hydrogen-and-mental-health-research,301,/benefits-of-hydrogen-water/,LOW,Research content
PROBIOTIC ORPHANS,,,,
/signs-that-probiotics-are-working,301,/best-prebiotics-and-probiotics-supplements/,MEDIUM,Informational → hub
/do-probiotics-help-with-bloating,301,/best-supplements-for-sibo/,LOW,Gut health
/do-probiotics-make-you-poop,301,/prunes-vs-dates-for-constipation-relief/,LOW,Digestive
/best-probiotic-supplements-for-ibs,301,/do-probiotics-help-ibs/,MEDIUM,IBS content kept
/home-remedies-for-leaky-gut,301,/best-leaky-gut-supplements/,LOW,Related
RLT ORPHAN REDIRECTS,,,,
/red-light-therapy-boosts-mitochondrial-function,301,/at-home-red-light-therapy/,LOW,Science → pillar
/wavelength-for-red-light,301,/at-home-red-light-therapy/,LOW,Technical → pillar
/red-light-therapy-for-inflammation,301,/fda-approved-red-light-therapy-devices-for-pain/,LOW,Pain/inflammation
/red-light-therapy-for-fibromyalgia,301,/conditions/fibromyalgia/,LOW,Condition link
/meth-the-alternative-to-the-rice-method/,301,/services/sports-injury-treatment/,LOW,Injury content → Core 30
/gary-brecka-pemf-mat,301,/gary-brecka-supplements/,LOW,Gary Brecka cluster
/seed-pediatric-probiotic-reviews,301,/probiotics-for-teenagers/,MEDIUM,4 impressions
